date,return
2019-04,0.03931350
2019-05,-0.06577773
2019-06,0.06893016
2019-07,0.01312815
2019-08,-0.01809163
2019-09,0.01718118
2019-10,0.02043177
2019-11,0.03404704
2019-12,0.02858982
2020-01,-0.00162809
2020-02,-0.08411048
2020-03,-0.12511928
2020-04,0.12684404
2020-05,0.04528182
2020-06,0.01838840
2020-07,0.05510132
2020-08,0.07006467
2020-09,-0.03922797
2020-10,-0.02766579
2020-11,0.10754564
2020-12,0.03712146
2021-01,-0.01113666
2021-02,0.02609145
2021-03,0.04243863
2021-04,0.05242532
2021-05,0.00548649
2021-06,0.02221401
2021-07,0.02274805
2021-08,0.02899042
2021-09,-0.04756917
2021-10,0.06914384
2021-11,-0.00833371
2021-12,0.04361291
2022-01,-0.05258517
2022-02,-0.03136049
2022-03,0.03577329
2022-04,-0.08795671
2022-05,0.00005318
2022-06,-0.08392000
2022-07,0.09111639
2022-08,-0.04244013
2022-09,-0.09339567
2022-10,0.07986341
2022-11,0.05375289
2022-12,-0.05897147
2023-01,0.06175286
2023-02,-0.02611249
2023-03,0.03505161
2023-04,0.01464234
2023-05,0.00248235
2023-06,0.06472746
2023-07,0.03113893
2023-08,-0.01771639
2023-09,-0.04871937
2023-10,-0.02197969
2023-11,0.08917927
2023-12,0.04422923
2024-01,0.01589571
2024-02,0.05172064
2024-03,0.03101878
2024-04,-0.04161507
2024-05,0.04802119
2024-06,0.03466980
2024-07,0.01132132
2024-08,0.02283471
2024-09,0.02019688
2024-10,-0.00989674
2024-11,0.05730130
2024-12,-0.02499014
2025-01,0.02701630
2025-02,-0.01424209
2025-03,-0.05754470
2025-04,-0.00762494
2025-05,0.06152383
2025-06,0.04960684
2025-07,0.02166656
2025-08,0.01906644
2025-09,0.03532369
2025-10,0.02268687
2025-11,0.00129962
2025-12,-0.00052413
2026-01,0.01366296
2026-02,-0.00866834
2026-03,-0.01498501
